Date	Plot	GreenSeeker
24/11/2014	218	0.525643522
24/11/2014	219	0.701954383
24/11/2014	220	0.525013388
24/11/2014	221	0.725500945
24/11/2014	222	0.80846658
24/11/2014	223	0.495436865
24/11/2014	224	0.685674056
27/11/2014	201	0.373183054
27/11/2014	202	0.7728333
27/11/2014	203	0.585000517
27/11/2014	204	0.519440572
27/11/2014	205	0.775721649
27/11/2014	206	0.772513019
27/11/2014	207	0.527103314
27/11/2014	208	0.822860941
27/11/2014	209	0.583525558
27/11/2014	210	0.778450379
27/11/2014	211	0.790160318
27/11/2014	212	0.743645844
27/11/2014	213	0.817129696
27/11/2014	214	0.694507369
27/11/2014	215	0.77880046
27/11/2014	216	0.697215149
27/11/2014	217	0.509659211
27/11/2014	218	0.535495699
27/11/2014	219	0.714368751
27/11/2014	220	0.54441053
27/11/2014	221	0.801695781
27/11/2014	222	0.83042707
27/11/2014	223	0.509077365
27/11/2014	224	0.71012286
2/12/2014	201	0.361780238
2/12/2014	202	0.773700426
2/12/2014	203	0.571283584
2/12/2014	204	0.50326387
2/12/2014	205	0.767998006
2/12/2014	206	0.763926
2/12/2014	207	0.460804845
2/12/2014	208	0.815749956
2/12/2014	209	0.573609742
2/12/2014	210	0.790189263
2/12/2014	211	0.797779004
2/12/2014	212	0.728528753
2/12/2014	213	0.8138521
2/12/2014	214	0.712321534
2/12/2014	215	0.808695191
2/12/2014	216	0.708450457
2/12/2014	217	0.527307862
2/12/2014	218	0.490797403
2/12/2014	219	0.700629699
2/12/2014	220	0.537372234
2/12/2014	221	0.822280629
2/12/2014	222	0.83592512
2/12/2014	223	0.512037986
2/12/2014	224	0.697095751
5/12/2014	201	0.500273397
5/12/2014	202	0.775751379
5/12/2014	203	0.670710117
5/12/2014	204	0.590184878
5/12/2014	205	0.78961238
5/12/2014	206	0.768004303
5/12/2014	207	0.591696544
5/12/2014	208	0.82091752
5/12/2014	209	0.644617138
5/12/2014	210	0.794436509
5/12/2014	211	0.795859177
5/12/2014	212	0.760975812
5/12/2014	213	0.817630985
5/12/2014	214	0.765321834
5/12/2014	215	0.799856671
5/12/2014	216	0.756796367
5/12/2014	217	0.63694815
5/12/2014	218	0.619044103
5/12/2014	219	0.738905239
5/12/2014	220	0.653933995
5/12/2014	221	0.817294926
5/12/2014	222	0.841155314
5/12/2014	223	0.6636687
5/12/2014	224	0.752466499
8/12/2014	201	0.48037668
8/12/2014	202	0.789993769
8/12/2014	203	0.679456291
8/12/2014	204	0.545681435
