# data from: K:\Rainshelter\Barley_2014_15 spresdsheet ...
Date	Plot	SunScan
5/12/2014	216	0.841148291
5/12/2014	217	0.697264907
5/12/2014	218	0.701076942
5/12/2014	219	0.847362604
5/12/2014	220	0.671612859
5/12/2014	221	0.918391573
5/12/2014	222	0.976052625
5/12/2014	223	0.71695076
5/12/2014	224	0.853690963
8/12/2014	201	0.581108938
8/12/2014	202	0.92549388
8/12/2014	203	0.745793822
8/12/2014	204	0.720076442
8/12/2014	205	0.917870113
8/12/2014	206	0.900154668
8/12/2014	207	0.656132116
8/12/2014	208	0.962893144
8/12/2014	209	0.776239924
8/12/2014	210	0.935614307
8/12/2014	211	0.911711143
8/12/2014	212	0.888394619
8/12/2014	213	0.962108788
8/12/2014	214	0.861758093
8/12/2014	215	0.900582504
8/12/2014	216	0.857200575
8/12/2014	217	0.745873648
8/12/2014	218	0.71717756
8/12/2014	219	0.892024872
8/12/2014	220	0.754616826
8/12/2014	221	0.917315804
8/12/2014	222	0.978708918
8/12/2014	223	0.751046255
8/12/2014	224	0.886112451
12/12/2014	201	0.655881321
12/12/2014	202	0.924339914
12/12/2014	203	0.721464844
12/12/2014	204	0.728687581
12/12/2014	205	0.938684348
12/12/2014	206	0.916544102
12/12/2014	207	0.776854741
12/12/2014	208	0.977354476
12/12/2014	209	0.766536822
12/12/2014	210	0.935398544
12/12/2014	211	0.919107064
12/12/2014	212	0.919152562
12/12/2014	213	0.966117675
12/12/2014	214	0.885525403
12/12/2014	215	0.87738486
12/12/2014	216	0.88316668
12/12/2014	217	0.793712253
12/12/2014	218	0.746074441
12/12/2014	219	0.905122001
12/12/2014	220	0.787230399
12/12/2014	221	0.939354301
12/12/2014	222	0.990790791
12/12/2014	223	0.804613826
12/12/2014	224	0.912838851
16/12/2014	201	0.544066264
16/12/2014	202	0.910223162
16/12/2014	203	0.756407354
16/12/2014	204	0.679489983
16/12/2014	205	0.917418644
16/12/2014	206	0.907148256
16/12/2014	207	0.693015699
16/12/2014	208	0.971497435
16/12/2014	209	0.761471529
16/12/2014	210	0.919527442
16/12/2014	211	0.922988009
16/12/2014	212	0.914263937
16/12/2014	213	0.965863432
16/12/2014	214	0.891366654
16/12/2014	215	0.926112608
16/12/2014	216	0.850399352
16/12/2014	217	0.703903952
16/12/2014	218	0.75083374
16/12/2014	219	0.889848501
16/12/2014	220	0.770127001
16/12/2014	221	0.910698991
16/12/2014	222	0.98643756
16/12/2014	223	0.784767726
16/12/2014	224	0.936842774
18/12/2014	201	0.733976521
18/12/2014	202	0.948486438
18/12/2014	203	0.860127327
18/12/2014	204	0.852402817
18/12/2014	205	0.954837803
18/12/2014	206	0.946406396
18/12/2014	207	0.838769372
18/12/2014	208	0.98782513
18/12/2014	209	0.846308213
18/12/2014	210	0.959331168
18/12/2014	211	0.951388399
18/12/2014	212	0.948310675
18/12/2014	213	0.985694021
18/12/2014	214	0.95010554
18/12/2014	215	0.950159707
18/12/2014	216	0.925044339
18/12/2014	217	0.844375826
18/12/2014	218	0.816248946
18/12/2014	219	0.943491158
18/12/2014	220	0.835342315
18/12/2014	221	0.959186554
18/12/2014	222	0.996329397
18/12/2014	223	0.890527931
18/12/2014	224	0.954916375
23/12/2014	201	0.666013826
23/12/2014	202	0.902715826
23/12/2014	203	0.870431094
23/12/2014	204	0.822681354
23/12/2014	205	0.932564436
23/12/2014	206	0.922435047
23/12/2014	207	0.783483613
23/12/2014	208	0.973629475
23/12/2014	209	0.836069666
23/12/2014	210	0.93314408
23/12/2014	211	0.911722884
23/12/2014	212	0.918043459
23/12/2014	213	0.981875846
23/12/2014	214	0.943999616
23/12/2014	215	0.922547744
23/12/2014	216	0.854114398
23/12/2014	217	0.799018057
23/12/2014	218	0.790265645
23/12/2014	219	0.918774111
23/12/2014	220	0.801496228
23/12/2014	221	0.91095985
23/12/2014	222	0.989717175
23/12/2014	223	0.83004332
23/12/2014	224	0.936839931
6/01/2015	201	0.801025382
6/01/2015	202	0.953689656
6/01/2015	203	0.885720272
6/01/2015	204	0.764696508
6/01/2015	205	0.920474416
6/01/2015	206	0.951575943
6/01/2015	207	0.864260669
6/01/2015	208	0.9882574
6/01/2015	209	0.82826558
6/01/2015	210	0.894237638
6/01/2015	211	0.942393418
6/01/2015	212	0.965558738
6/01/2015	213	0.992943646
6/01/2015	214	0.973107717
6/01/2015	215	0.967820082
6/01/2015	216	0.862790076
6/01/2015	217	0.760281807
6/01/2015	218	0.868816051
6/01/2015	219	0.900315366
6/01/2015	220	0.736975801
6/01/2015	221	0.960201826
6/01/2015	222	0.99674915
6/01/2015	223	0.897731009
6/01/2015	224	0.975949713
8/01/2015	201	0.800813915
8/01/2015	202	0.946482617
8/01/2015	203	0.893395789
8/01/2015	204	0.790548085
8/01/2015	205	0.901945296
8/01/2015	206	0.958545466
8/01/2015	207	0.8930192
8/01/2015	208	0.988365523
8/01/2015	209	0.845907103
8/01/2015	210	0.867081581
8/01/2015	211	0.952465068
8/01/2015	212	0.965536638
8/01/2015	213	0.994099355
8/01/2015	214	0.969636972
8/01/2015	215	0.97092569
8/01/2015	216	0.858691959
8/01/2015	217	0.739739833
8/01/2015	218	0.868416907
8/01/2015	219	0.878740773
8/01/2015	220	0.745768779
8/01/2015	221	0.954731366
8/01/2015	222	0.99741645
8/01/2015	223	0.913760572
8/01/2015	224	0.975519861
14/01/2015	201	0.711647434
14/01/2015	202	0.912362571
14/01/2015	203	0.856180145
14/01/2015	204	0.65846913
14/01/2015	205	0.81415981
14/01/2015	206	0.949906508
14/01/2015	207	0.790051147
14/01/2015	208	0.964530204
14/01/2015	209	0.721822201
14/01/2015	210	0.762445267
14/01/2015	211	0.953772459
14/01/2015	212	0.915848318
14/01/2015	213	0.965536089
14/01/2015	214	0.962799324
14/01/2015	215	0.953927874
14/01/2015	216	0.768190059
14/01/2015	217	0.655044501
14/01/2015	218	0.851367008
14/01/2015	219	0.676347155
14/01/2015	220	0.487538828
14/01/2015	221	0.944509866
14/01/2015	222	0.977504853
14/01/2015	223	0.891137303
14/01/2015	224	0.972261913
16/01/2015	201	0.684624995
16/01/2015	202	0.861929752
16/01/2015	203	0.845100632
16/01/2015	204	0.473615547
16/01/2015	205	0.578378475
16/01/2015	206	0.939696707
16/01/2015	207	0.756399596
16/01/2015	208	0.926789206
16/01/2015	209	0.53300847
16/01/2015	210	0.505303015
